budget, difference in mean,difference in position,total vectors 
10,-20.005279657,2,1000
10,-9.98361793814,1,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-9.98361793814,1,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-9.98361793814,1,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-9.98361793814,1,1000
10,-20.005279657,2,1000
10,-9.98361793814,1,1000
10,-20.005279657,2,1000
10,-9.98361793814,1,1000
10,-9.98361793814,1,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-9.98361793814,1,1000
10,-20.005279657,2,1000
10,-9.98361793814,1,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-9.98361793814,1,1000
10,-9.98361793814,1,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-9.98361793814,1,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-9.98361793814,1,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-9.98361793814,1,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-20.005279657,2,1000
10,-9.98361793814,1,1000
10,-20.005279657,2,1000
